iter	Passed	Remaining
405	2735	4001
406	2741	3993
407	2746	3984
408	2756	3983
409	2766	3981
410	2771	3971
411	2775	3961
412	2780	3952
413	2786	3943
414	2791	3935
415	2797	3927
416	2802	3917
417	2813	3916
418	2826	3919
419	2835	3915
420	2840	3907
421	2846	3898
422	2849	3887
423	2859	3884
424	2863	3874
425	2866	3862
426	2871	3852
427	2876	3844
428	2879	3832
429	2883	3822
430	2886	3811
431	2890	3801
432	2896	3793
433	2899	3781
434	2902	3770
435	2906	3759
436	2909	3748
437	2912	3737
438	2915	3725
439	2919	3715
440	2922	3704
441	2926	3694
442	2929	3683
443	2935	3676
444	2941	3669
445	2944	3658
446	2948	3647
447	2951	3636
448	2954	3625
449	2957	3614
450	2960	3604
451	2963	3593
452	2967	3583
453	2970	3572
454	2973	3561
455	2976	3551
456	2980	3541
457	2984	3531
458	2991	3526
459	2995	3516
460	2999	3506
461	3002	3496
462	3006	3486
463	3009	3476
464	3012	3466
465	3017	3457
466	3022	3449
467	3026	3440
468	3031	3432
469	3037	3425
470	3042	3416
471	3047	3409
472	3051	3399
473	3054	3389
474	3058	3380
475	3062	3370
476	3065	3360
477	3068	3351
478	3072	3342
479	3076	3332
480	3079	3323
481	3083	3313
482	3094	3312
483	3098	3302
484	3101	3293
485	3110	3289
486	3113	3280
487	3117	3270
488	3120	3261
489	3124	3252
490	3128	3243
491	3131	3233
492	3134	3223
493	3138	3214
494	3141	3204
495	3144	3195
496	3147	3185
497	3150	3176
498	3153	3166
499	3156	3156
500	3159	3147
501	3162	3137
502	3166	3128
503	3172	3122
504	3177	3114
505	3180	3105
506	3184	3096
507	3187	3087
508	3190	3077
509	3193	3068
510	3196	3059
511	3199	3049
512	3203	3041
513	3207	3032
514	3210	3023
515	3215	3016
516	3222	3010
517	3226	3002
518	3229	2993
519	3233	2984
520	3243	2981
521	3247	2973
522	3250	2964
523	3253	2955
524	3258	2948
525	3264	2941
526	3267	2932
527	3270	2923
528	3273	2914
529	3276	2905
530	3279	2896
531	3282	2887
532	3285	2879
533	3289	2870
534	3293	2862
535	3296	2854
536	3300	2845
537	3302	2836
538	3309	2830
539	3312	2821
540	3315	2812
541	3318	2804
542	3321	2795
543	3324	2786
544	3327	2778
545	3330	2769
546	3333	2760
547	3337	2752
548	3340	2743
549	3343	2735
550	3347	2728
551	3351	2720
552	3357	2713
553	3360	2705
554	3363	2696
555	3366	2688
556	3369	2680
557	3372	2671
558	3376	2663
559	3379	2654
560	3382	2646
561	3385	2638
562	3388	2630
563	3395	2625
564	3401	2618
565	3405	2611
566	3408	2603
567	3412	2595
568	3416	2587
569	3420	2580
570	3424	2573
571	3430	2566
572	3435	2560
573	3439	2553
574	3443	2545
575	3448	2538
576	3453	2531
577	3457	2524
578	3460	2516
579	3469	2512
580	3473	2504
581	3476	2496
582	3479	2488
583	3482	2480
584	3486	2473
585	3493	2468
586	3496	2460
587	3500	2452
588	3503	2444
589	3506	2436
590	3509	2428
591	3512	2420
592	3515	2413
593	3519	2405
594	3522	2397
595	3527	2391
596	3530	2383
597	3537	2378
598	3540	2370
599	3544	2362
600	3547	2355
601	3550	2347
602	3553	2339
603	3556	2331
604	3559	2324
605	3563	2316
606	3566	2308
607	3569	2301
608	3573	2294
609	3586	2292
610	3590	2285
611	3594	2279
612	3609	2278
613	3614	2272
614	3622	2267
615	3626	2260
616	3629	2253
617	3633	2246
618	3636	2238
619	3639	2230
620	3644	2224
621	3650	2218
622	3653	2211
623	3657	2203
624	3660	2196
625	3663	2188
626	3666	2181
627	3669	2173
628	3672	2166
629	3676	2159
630	3679	2151
631	3682	2144
632	3685	2136
633	3693	2132
634	3697	2125
635	3701	2118
636	3705	2111
637	3708	2104
638	3711	2096
639	3714	2089
640	3720	2083
641	3723	2076
642	3726	2068
643	3729	2061
644	3732	2054
645	3738	2048
646	3742	2041
647	3748	2036
648	3753	2030
649	3757	2023
650	3761	2016
651	3764	2009
652	3769	2003
653	3772	1996
654	3776	1988
655	3779	1981
656	3785	1976
657	3793	1971
658	3798	1965
659	3803	1959
660	3807	1952
661	3811	1946
662	3814	1939
663	3818	1932
664	3823	1925
665	3827	1919
666	3832	1913
667	3835	1906
668	3844	1902
669	3848	1895
670	3852	1889
671	3856	1882
672	3859	1875
673	3862	1868
674	3865	1861
675	3869	1854
676	3873	1847
677	3881	1843
678	3884	1836
679	3888	1829
680	3891	1822
681	3894	1816
